# Generated by generate_dummy_data.py on 2025-09-10T19:19:03.797464Z
id,serial_number,address,location_id,meter_type,priority,status,last_reading,estimated_time,coordinates,owner,meter_metadata,created_at,updated_at
85cc877a-71a7-4521-bda1-0e10fa79b5c2,MTR-000001,636 Brandon Forks,40872c20-e900-40da-a897-0d99a5059410,analog,medium,maintenance,6727.2,30,SRID=4326;POINT(5.51256887105698 10.55623461392464),Galloway-Wyatt,"{""manufacturer"": ""Honeywell"", ""model"": ""ANL-7173"", ""meter_type"": ""analog"", ""voltage"": ""220V"", ""max_current"": ""100A"", ""accuracy_class"": ""1.0"", ""installation_date"": ""2023-10-17"", ""last_calibration"": ""2025-05-02"", ""installation_notes"": null}",2024-12-10T19:19:03.764048Z,2025-09-09T20:18:03.786237Z
d5e59d37-bfa4-4fe4-9ec1-774122e89c75,MTR-000002,523 Norman Motorway,63ee348e-baff-4d51-903d-d133c0d1a1e2,analog,low,active,1550.58,60,SRID=4326;POINT(4.091567604951087 8.960279137428332),"Flowers, Martin and Kelly","{""manufacturer"": ""Schneider"", ""model"": ""ANL-9907"", ""meter_type"": ""analog"", ""voltage"": ""380V"", ""max_current"": ""60A"", ""accuracy_class"": ""1.0"", ""installation_date"": ""2025-06-16"", ""last_calibration"": ""2025-07-26"", ""installation_notes"": ""Reduce raise author play move.""}",2023-06-04T19:19:03.764294Z,2025-09-08T19:52:03.784284Z
12c84ba6-fcd3-426d-9440-23289394df97,MTR-000003,264 Frank Light,40872c20-e900-40da-a897-0d99a5059410,digital,low,active,2887.59,60,SRID=4326;POINT(5.461754279872226 10.574982661544924),Mayo-Bowman,"{""manufacturer"": ""Landis+Gyr"", ""model"": ""DIG-4675"", ""meter_type"": ""digital"", ""voltage"": ""220V"", ""max_current"": ""200A"", ""accuracy_class"": ""0.5S"", ""installation_date"": ""2023-12-24"", ""last_calibration"": ""2024-09-28"", ""installation_notes"": null}",2023-07-20T19:19:03.764458Z,2025-09-03T19:58:03.784199Z
7271ad5a-0d5a-4053-9f2a-07705639566d,MTR-000004,252 Gabrielle Ville,93fbe74e-ffa6-4ec9-a160-dcf41e77db09,digital,critical,active,6619.7,45,SRID=4326;POINT(4.538527242494386 9.594137900317687),Perez Inc,"{""manufacturer"": ""Siemens"", ""model"": ""DIG-9712"", ""meter_type"": ""digital"", ""voltage"": ""380V"", ""max_current"": ""60A"", ""accuracy_class"": ""0.5S"", ""installation_date"": ""2023-03-20"", ""last_calibration"": ""2025-06-04"", ""installation_notes"": null}",2025-07-26T19:19:03.764574Z,2025-09-10T19:53:03.787882Z
41e179ad-4804-4996-a112-f8c1eee3b1ef,MTR-000005,548 Morales Circles,40872c20-e900-40da-a897-0d99a5059410,analog,medium,inactive,7897.71,15,SRID=4326;POINT(5.526827471053043 10.518164384939379),Gentry PLC,"{""manufacturer"": ""Landis+Gyr"", ""model"": ""ANL-5338"", ""meter_type"": ""analog"", ""voltage"": ""110V"", ""max_current"": ""200A"", ""accuracy_class"": ""1.0"", ""installation_date"": ""2023-10-20"", ""last_calibration"": null, ""installation_notes"": ""Defense material those poor central cause.""}",2024-05-23T19:19:03.764712Z,2025-09-04T19:52:03.785317Z
d4f6665f-7a7f-436e-bc60-5d8666f4653b,MTR-000006,175 Burgess Meadow,0fefe927-09c2-4361-8c38-bd7924567024,analog,low,maintenance,7622.54,45,SRID=4326;POINT(5.086966720573725 10.068376239147728),"Ross, Robinson and Bright","{""manufacturer"": ""Landis+Gyr"", ""model"": ""ANL-1828"", ""meter_type"": ""analog"", ""voltage"": ""220V"", ""max_current"": ""200A"", ""accuracy_class"": ""1.0"", ""installation_date"": ""2023-06-29"", ""last_calibration"": ""2025-04-30"", ""installation_notes"": ""Management sense technology check civil quite others.""}",2023-11-25T19:19:03.764943Z,2025-09-07T20:17:03.783921Z
bcaccae5-ec16-477f-a0d2-8c4e2f856dae,MTR-000007,142 James Mountain,83d70b87-3cfd-43ab-b6b2-37fa7bce7cbb,analog,low,inactive,6260.05,60,SRID=4326;POINT(3.462925825463655 8.471623235300646),"King, Tran and Dunlap","{""manufacturer"": ""Siemens"", ""model"": ""ANL-5400"", ""meter_type"": ""analog"", ""voltage"": ""220V"", ""max_current"": ""60A"", ""accuracy_class"": ""1.0"", ""installation_date"": ""2023-01-25"", ""last_calibration"": ""2025-02-12"", ""installation_notes"": null}",2023-05-12T19:19:03.765207Z,2025-09-03T20:16:03.786383Z
41cd4eb7-9dbd-4578-91b7-c48d6c38fd8c,MTR-000008,834 Erin Plain,83d70b87-3cfd-43ab-b6b2-37fa7bce7cbb,digital,high,active,810.64,30,SRID=4326;POINT(3.4996922440617295 8.563872126431498),Mack-Peterson,"{""manufacturer"": ""Siemens"", ""model"": ""DIG-1466"", ""meter_type"": ""digital"", ""voltage"": ""110V"", ""max_current"": ""100A"", ""accuracy_class"": ""0.5S"", ""installation_date"": ""2025-02-27"", ""last_calibration"": ""2025-05-11"", ""installation_notes"": null}",2023-11-07T19:19:03.765390Z,2025-08-28T20:18:03.783058Z
f3e5dcea-db16-4cff-820b-16d1f40d48aa,MTR-000009,485 Graham Motorway,83d70b87-3cfd-43ab-b6b2-37fa7bce7cbb,digital,high,active,7311.25,30,SRID=4326;POINT(3.4216032434921035 8.56521411615823),Mckay Ltd,"{""manufacturer"": ""Itron"", ""model"": ""DIG-5828"", ""meter_type"": ""digital"", ""voltage"": ""110V"", ""max_current"": ""60A"", ""accuracy_class"": ""0.5S"", ""installation_date"": ""2025-03-16"", ""last_calibration"": ""2025-02-12"", ""installation_notes"": null}",2023-04-06T19:19:03.765522Z,2025-09-10T19:33:03.785584Z
0c86cb4a-941b-4bdd-a9d0-7b52a711b7a8,MTR-000010,514 Stanton Track,83d70b87-3cfd-43ab-b6b2-37fa7bce7cbb,digital,medium,inactive,2514.75,15,SRID=4326;POINT(3.489380848817812 8.411815579819736),Romero Inc,"{""manufacturer"": ""Honeywell"", ""model"": ""DIG-9124"", ""meter_type"": ""digital"", ""voltage"": ""380V"", ""max_current"": ""200A"", ""accuracy_class"": ""0.5S"", ""installation_date"": ""2025-03-29"", ""last_calibration"": ""2025-06-20"", ""installation_notes"": ""Fear police participant check several much single morning.""}",2023-07-24T19:19:03.765665Z,2025-09-02T19:41:03.783390Z
